Date,Experimental Period,Field Acclimation Day,Tank acclimation Day,Treatment Exposure Day,Larval Exposure Day,Ambient Tank,High Tank,LunarDay,
28-Mar-14,Collection,1,,,,,,,
29-Mar-14,Field Acclimation,2,,,,,,,
30-Mar-14,Field Acclimation,3,,,,,,0,
31-Mar-14,Field Acclimation,4,,,,,,1,
1-Apr-14,Field Acclimation,5,,,,,,2,
2-Apr-14,Move to Tanks,,1,,,Tank 2,,3,
3-Apr-14,Tank Acclimation,,2,,,Tank 2,,4,
4-Apr-14,Tank Acclimation,,3,,,Tank 2,,5,
5-Apr-14,Tank Acclimation,,4,,,Tank 2,,6,
6-Apr-14,Tank Acclimation,,5,,,Tank 2,,7,
7-Apr-14,Tank Acclimation,,6,,,Tank 2,,8,
8-Apr-14,Tank Acclimation,,7,,,Tank 2,,9,
9-Apr-14,Tank Acclimation,,8,,,Tank 2,,10,
10-Apr-14,Tank Acclimation,,9,,,Tank 2,,11,
11-Apr-14,Tank Acclimation,,10,,,Tank 2,,12,
12-Apr-14,Tank Acclimation,,11,,,Tank 2,,13,
13-Apr-14,Tank Acclimation,,12,,,Tank 2,,14,
14-Apr-14,Tank Acclimation,,13,,,Tank 2,,15,
15-Apr-14,Tank Acclimation,,14,,,Tank 2,,16,
16-Apr-14,Tank Acclimation,,15,,,Tank 2,,17,
17-Apr-14,Tank Acclimation,,16,,,Tank 2,,18,
18-Apr-14,Tank Acclimation,,17,,,Tank 2,,19,
19-Apr-14,Tank Acclimation,,18,,,Tank 2,,20,
20-Apr-14,Tank Acclimation,,19,,,Tank 2,,21,
21-Apr-14,Tank Acclimation,,20,,,Tank 2,,22,
22-Apr-14,Tank Acclimation,,21,,,Tank 2,,23,
23-Apr-14,Tank Acclimation,,22,,,Tank 2,,24,
24-Apr-14,Tank Acclimation,,23,,,Tank 2,,25,
25-Apr-14,Tank Acclimation,,24,,,Tank 2,,26,
26-Apr-14,Tank Acclimation,,25,,,Tank 2,,27,
27-Apr-14,Tank Acclimation,,26,,,Tank 2,,28,
28-Apr-14,Tank Acclimation,,27,,,Tank 2,,0,
29-Apr-14,Tank Acclimation,,28,,,Tank 2,,1,
30-Apr-14,Tank Acclimation,,29,,,Tank 2,,2,
1-May-14,Tank Acclimation,,30,,,Tank 2,,3,
2-May-14,Tank Acclimation,,31,,,Tank 2,,4,
3-May-14,Tank Acclimation,,32,,,Tank 2,,5,
4-May-14,Tank Acclimation,,33,,,Tank 2,,6,
5-May-14,Start Treatments,,34,,,Tank 2,,7,
6-May-14,,,,1,,Tank 4,Tank 3,8,
7-May-14,,,,2,,Tank 4,Tank 3,9,
8-May-14,,,,3,,Tank 4,Tank 3,10,
9-May-14,,,,4,,Tank 4,Tank 5,11,
10-May-14,,,,5,,Tank 4,Tank 5,12,
11-May-14,,,,6,,Tank 4,Tank 5,13,
12-May-14,,,,7,,Tank 4,Tank 5,14,
