 Comment / ID, Start time, Sample size, Corr. f, Density,,
 Sample2, 6/13/2014 1:26:57 PM, 100.41 g,1, 1.0 g/mL,,
 EQP titration[1],,,,,,
 Volume, Increment, Signal, Change, 1st deriv., Time, Temperature
 mL, mL, mV, mV, mV/mL, s, oC
0, NaN,42.5, NaN, NaN,0,20.9
0.04,0.04,-27.4,-69.9, NaN,28,20.9
0.08,0.04,-34.8,-7.4, NaN,45,20.9
0.12,0.04,-33.5,1.3, NaN,49,20.9
0.16,0.04,-32,1.5, NaN,55,21
0.2,0.04,-22.5,9.5, NaN,78,21
0.24,0.04,-15.9,6.6, NaN,95,21
0.28,0.04,-10.3,5.6, NaN,113,21
0.32,0.04,-6.9,3.4, NaN,122,21
0.36,0.04,-2.2,4.7, NaN,129,21
0.4,0.04,-0.8,1.4, NaN,133,21
0.44,0.04,0.3,1.1, NaN,137,21
0.48,0.04,4.3,4, NaN,143,21
0.52,0.04,8.6,4.3, NaN,149,21
0.56,0.04,10.7,2.1, NaN,155,21
0.6,0.04,12.9,2.2, NaN,159,21
0.64,0.04,15.9,3, NaN,165,21
0.68,0.04,21.2,5.3, NaN,170,21
0.72,0.04,23.3,2.1, NaN,174,21
0.76,0.04,24.3,1, NaN,178,21
0.8,0.04,25.7,1.4, NaN,182,21
0.84,0.04,31.2,5.5, NaN,187,21
0.88,0.04,34.4,3.2, NaN,191,21
0.92,0.04,35.2,0.8, NaN,195,21
0.96,0.04,37.8,2.6, NaN,198,21
1,0.04,39.5,1.7, NaN,203,21
1.04,0.04,41.4,1.9, NaN,207,21
1.08,0.04,43.2,1.8, NaN,211,21
1.12,0.04,45.2,2, NaN,215,21
1.16,0.04,46.5,1.3, NaN,219,21
1.2,0.04,49.3,2.8, NaN,223,21
1.24,0.04,51.7,2.4, NaN,227,21
1.28,0.04,53.3,1.6, NaN,231,21
1.32,0.04,55.9,2.6, NaN,235,21
1.36,0.04,59.4,3.5, NaN,239,21
1.4,0.04,68.7,9.3, NaN,243,21
1.44,0.04,69.6,0.9, NaN,247,21
1.48,0.04,74.6,5, NaN,250,21
1.52,0.04,74.9,0.3, NaN,254,21
1.56,0.04,79.5,4.6, NaN,258,21
1.6,0.04,78.8,-0.7, NaN,261,21
1.64,0.04,84.5,5.7, NaN,265,21
1.68,0.04,90.9,6.4, NaN,269,21
1.72,0.04,92.3,1.4, NaN,272,21
1.76,0.04,95.6,3.3, NaN,276,21
1.8,0.04,96,0.4, NaN,279,21
1.84,0.04,102,6, NaN,283,21
1.88,0.04,100.8,-1.2, NaN,286,21
1.92,0.04,107.2,6.4, NaN,290,21
1.96,0.04,107.7,0.5, NaN,294,21
2,0.04,114.4,6.7, NaN,299,21
2.04,0.04,129.4,15, NaN,303,21
2.08,0.04,131.6,2.2, NaN,307,21
2.12,0.04,137.7,6.1, NaN,313,21
2.16,0.04,148.1,10.4,232.63,320,21
2.2,0.04,160.1,12,235.08,326,21
2.24,0.04,170.3,10.2,241.17,330,21
2.28,0.04,177.9,7.6,185.94,333,21
2.32,0.04,182.6,4.7,132,338,21
2.34,0.02,184.1,1.5,106.82,703,21.1
2.36,0.02,186.7,2.6,96.1,707,21.1
2.38,0.02,188.7,2,96.83,711,21.1
2.4,0.02,192.3,3.6,101.3,714,21.1
2.42,0.02,192.3,0,95.83,722,21.1
2.44,0.02,194.1,1.8,86.51,727,21.1
2.46,0.02,196.9,2.8,79.14,731,21.1
2.48,0.02,198.3,1.4,74.95,734,21.1
2.5,0.02,199.4,1.1,75.78,738,21.1
2.52,0.02,200.8,1.4,61.58,742,21.1
2.54,0.02,201.8,1,60.19,746,21.1
2.56,0.02,203.5,1.7,63.24,749,21.1
2.58,0.02,204.5,1,59.42,753,21.1
2.6,0.02,205.6,1.1,53.05,756,21.1
2.62,0.02,207,1.4,48.67,760,21.1
2.64,0.02,207.5,0.5,46.13,764,21.1
2.66,0.02,208.4,0.9,47.64,767,21.1
2.68,0.02,209.4,1,46.49,771,21.1
2.7,0.02,210.5,1.1,45.99,775,21.1
2.72,0.02,211.5,1,44.6,778,21.1
2.74,0.02,212.2,0.7,41.01,782,21.1
2.76,0.02,212.9,0.7,37.59,786,21.1
2.78,0.02,213.7,0.8,37.06,792,21.1
2.8,0.02,214.4,0.7,39.1,796,21.1
2.82,0.02,215.4,1,39.81,799,21.2
2.84,0.02,215.9,0.5,37.67,803,21.1
2.86,0.02,216.9,1,36.97,806,21.1
2.88,0.02,217.6,0.7,35.72,810,21.2
2.9,0.02,218.1,0.5,34.15,813,21.1
2.92,0.02,218.8,0.7,32.64,816,21.1
2.94,0.02,219.7,0.9,30.67,820,21.1
2.96,0.02,220.1,0.4,30.17,823,21.2
2.98,0.02,220.7,0.6,28.22,827,21.2
3,0.02,221.2,0.5,27.25,831,21.2
3.02,0.02,221.9,0.7,27.08,834,21.2
3.04,0.02,222.3,0.4,29.34,840,21.2
3.06,0.02,222.9,0.6,28.33,846,21.2
3.08,0.02,223.6,0.7,28.03,850,21.2
3.1,0.02,224,0.4,27.03,853,21.2
3.12,0.02,224.7,0.7,25.8,857,21.2
3.14,0.02,225,0.3,23.1,860,21.2
3.16,0.02,225.6,0.6,21.86,864,21.2
3.18,0.02,226,0.4,23.77,867,21.2
3.2,0.02,226.4,0.4,25.27,871,21.2
3.22,0.02,226.9,0.5,26.93,874,21.2
3.24,0.02,227.5,0.6,24.47,878,21.2
3.26,0.02,228.2,0.7,23.85,881,21.2
3.28,0.02,228.5,0.3,21.4,884,21.2
3.3,0.02,228.8,0.3,20.42,888,21.2
3.32,0.02,229.1,0.3,20.78,892,21.2
3.34,0.02,229.8,0.7,21.4,895,21.2
3.36,0.02,230.1,0.3,22.85,898,21.2
3.38,0.02,230.7,0.6,22.22,902,21.2
3.4,0.02,231,0.3,19.4,905,21.2
3.42,0.02,231.3,0.3,17.42,910,21.2
3.44,0.02,231.8,0.5,17.29,913,21.2
3.46,0.02,232.1,0.3,16.54,916,21.2
3.48,0.02,232.3,0.2,17.81,922,21.2
3.5,0.02,232.8,0.5,18.07,926,21.2
3.52,0.02,233.1,0.3,17.9,929,21.2
3.54,0.02,233.5,0.4,18.3,934,21.2
3.56,0.02,233.9,0.4,17.49,938,21.2
3.58,0.02,234.2,0.3,17.43,941,21.2
3.6,0.02,234.5,0.3,19.4,945,21.2
3.62,0.02,234.9,0.4,19,948,21.2
3.64,0.02,235.3,0.4,18.25,952,21.2
3.66,0.02,235.8,0.5,17.3,955,21.2
3.68,0.02,236.1,0.3,16.73,958,21.2
3.7,0.02,236.2,0.1,15.95,964,21.2
3.72,0.02,236.6,0.4, NaN,967,21.2
3.74,0.02,237,0.4, NaN,971,21.2
3.76,0.02,237.4,0.4, NaN,974,21.2
3.78,0.02,237.6,0.2, NaN,977,21.2
3.8,0.02,237.9,0.3, NaN,980,21.2
