 Comment / ID, Start time, Sample size, Corr. f, Density,,
 CRM1, 6/19/2014 1:15:32 PM, 99.45 g,1, 1.0 g/mL,,
 EQP titration[1],,,,,,
 Volume, Increment, Signal, Change, 1st deriv., Time, Temperature
 mL, mL, mV, mV, mV/mL, s, oC
3.62,0.02,235.6,0.3,14.2,986,21.6
3.64,0.02,235.9,0.3,13.51,989,21.6
3.66,0.02,236.5,0.6,14.79,992,21.6
3.68,0.02,236.4,-0.1,17.3,996,21.6
3.7,0.02,236.9,0.5,16.39,999,21.6
3.72,0.02,237.3,0.4, NaN,1002,21.6
3.74,0.02,237.6,0.3, NaN,1007,21.6
3.76,0.02,237.9,0.3, NaN,1011,21.6
3.78,0.02,238.3,0.4, NaN,1014,21.6
3.8,0.02,238.6,0.3, NaN,1017,21.6
