 Comment / ID, Start time, Sample size, Corr. f, Density,,
 Tank 4, 6/23/2014 10:13:14 AM, 99.60 g,1, 1.0 g/mL,,
 EQP titration[1],,,,,,
 Volume, Increment, Signal, Change, 1st deriv., Time, Temperature
 mL, mL, mV, mV, mV/mL, s, oC
0, NaN,13.7, NaN, NaN,0,22.4
0.04,0.04,-53.1,-66.8, NaN,28,22.5
0.08,0.04,-51.7,1.4, NaN,31,22.5
0.12,0.04,-51.1,0.6, NaN,34,22.5
0.16,0.04,-48,3.1, NaN,38,22.4
0.2,0.04,-47.4,0.6, NaN,43,22.4
0.24,0.04,-33.6,13.8, NaN,73,22.4
0.28,0.04,-24.4,9.2, NaN,94,22.4
0.32,0.04,-18.5,5.9, NaN,98,22.4
0.36,0.04,-12.7,5.8, NaN,115,22.4
0.4,0.04,-8.1,4.6, NaN,120,22.4
0.44,0.04,-0.2,7.9, NaN,125,22.4
0.48,0.04,6.1,6.3, NaN,129,22.4
0.52,0.04,9.9,3.8, NaN,133,22.4
0.56,0.04,10,0.1, NaN,136,22.4
0.6,0.04,12.6,2.6, NaN,140,22.4
0.64,0.04,17.3,4.7, NaN,144,22.4
0.68,0.04,24,6.7, NaN,148,22.4
0.72,0.04,28,4, NaN,152,22.4
0.76,0.04,28.2,0.2, NaN,155,22.4
0.8,0.04,28.6,0.4, NaN,159,22.4
0.84,0.04,33.1,4.5, NaN,162,22.4
0.88,0.04,35.2,2.1, NaN,166,22.4
0.92,0.04,35.8,0.6, NaN,169,22.4
0.96,0.04,41.6,5.8, NaN,173,22.4
1,0.04,46,4.4, NaN,177,22.4
1.04,0.04,49.6,3.6, NaN,180,22.4
1.08,0.04,60.4,10.8, NaN,184,22.4
1.12,0.04,51,-9.4, NaN,201,22.3
1.16,0.04,54.7,3.7, NaN,204,22.3
1.2,0.04,58.9,4.2, NaN,208,22.3
1.24,0.04,58.9,0, NaN,224,22.3
1.28,0.04,60.2,1.3, NaN,228,22.3
1.32,0.04,68.8,8.6, NaN,232,22.3
1.36,0.04,71.3,2.5, NaN,235,22.3
1.4,0.04,74.4,3.1, NaN,239,22.3
1.44,0.04,77.4,3, NaN,242,22.3
