 Volume, Increment, Signal, Change, 1st deriv., Time, Temperature
 mL, mL, mV, mV, mV/mL, s, oC
0, NaN,53.4, NaN, NaN,0,21
0.04,0.04,-15.9,-69.3, NaN,28,21
0.08,0.04,-29.8,-13.9, NaN,52,21
0.12,0.04,-29.5,0.3, NaN,56,21
0.16,0.04,-29,0.5, NaN,59,21
0.2,0.04,-20.2,8.8, NaN,87,21
0.24,0.04,-15.3,4.9, NaN,93,21
0.28,0.04,-10,5.3, NaN,109,21
0.32,0.04,-7.4,2.6, NaN,118,21
0.36,0.04,-2.5,4.9, NaN,124,21
0.4,0.04,0.1,2.6, NaN,129,21
0.44,0.04,1.5,1.4, NaN,133,21
0.48,0.04,3.8,2.3, NaN,140,21
0.52,0.04,6.6,2.8, NaN,145,21
0.56,0.04,8.8,2.2, NaN,152,21.1
0.6,0.04,12.6,3.8, NaN,161,21.1
0.64,0.04,16,3.4, NaN,166,21.1
0.68,0.04,17.2,1.2, NaN,171,21.1
0.72,0.04,18.7,1.5, NaN,175,21.1
0.76,0.04,20,1.3, NaN,180,21.1
0.8,0.04,22.8,2.8, NaN,185,21.1
0.84,0.04,26.3,3.5, NaN,190,21.1
0.88,0.04,33.6,7.3, NaN,194,21.1
0.92,0.04,35.7,2.1, NaN,198,21.1
0.96,0.04,36.4,0.7, NaN,202,21.1
1,0.04,38,1.6, NaN,206,21.1
1.04,0.04,41.1,3.1, NaN,210,21.1
1.08,0.04,41.6,0.5, NaN,213,21.1
1.12,0.04,43,1.4, NaN,217,21.1
1.16,0.04,45.1,2.1, NaN,222,21.1
1.2,0.04,48.9,3.8, NaN,226,21.1
1.24,0.04,50.4,1.5, NaN,231,21.1
1.28,0.04,57.4,7, NaN,235,21.1
1.32,0.04,62,4.6, NaN,239,21.1
1.36,0.04,61.8,-0.2, NaN,242,21.1
1.4,0.04,61.9,0.1, NaN,245,21.1
1.44,0.04,64.6,2.7, NaN,250,21.1
1.48,0.04,65.1,0.5, NaN,253,21.1
1.52,0.04,72.2,7.1, NaN,258,21.1
1.56,0.04,73.2,1, NaN,261,21.1
1.6,0.04,78.5,5.3, NaN,265,21.1
1.64,0.04,80.1,1.6, NaN,269,21.1
1.68,0.04,86.3,6.2, NaN,273,21.1
1.72,0.04,90,3.7, NaN,277,21.1
1.76,0.04,94.8,4.8, NaN,282,21.1
1.8,0.04,101.9,7.1, NaN,285,21.1
1.84,0.04,110.4,8.5, NaN,289,21.1
1.88,0.04,114.5,4.1, NaN,293,21.1
1.92,0.04,113.5,-1, NaN,296,21.1
1.96,0.04,120.6,7.1, NaN,300,21.1
2,0.04,126.1,5.5, NaN,305,21.1
2.04,0.04,135.5,9.4, NaN,313,21.1
2.08,0.04,148.7,13.2,285.13,318,21.1
2.12,0.04,159.2,10.5,272.52,328,21.2
2.16,0.04,169.6,10.4,244.73,335,21.2
2.2,0.04,177.8,8.2,191.45,341,21.2
2.24,0.04,184.4,6.6,145.55,346,21.2
2.26,0.02,185.5,1.1,129.94,714,21.3
2.28,0.02,188.2,2.7,113.24,720,21.3
2.3,0.02,191.3,3.1,106.67,723,21.4
2.32,0.02,193.4,2.1,100.97,727,21.3
2.34,0.02,195.4,2,93.91,731,21.4
2.36,0.02,196.7,1.3,78.44,735,21.4
2.38,0.02,198.1,1.4,73.06,739,21.4
