 Volume, Increment, Signal, Change, 1st deriv., Time, Temperature
 mL, mL, mV, mV, mV/mL, s, oC
0, NaN,46.8, NaN, NaN,0,20.9
0.1,0.1,-22.5,-69.3, NaN,28,20.9
0.2,0.1,-22.2,0.3, NaN,31,20.9
0.3,0.1,-16.7,5.5, NaN,35,20.9
0.4,0.1,-11,5.7, NaN,41,20.9
0.5,0.1,-2.9,8.1, NaN,52,20.9
0.6,0.1,2.4,5.3, NaN,58,20.9
0.7,0.1,4.5,2.1, NaN,61,20.9
0.8,0.1,9,4.5, NaN,66,20.9
0.9,0.1,13.4,4.4, NaN,70,20.9
1,0.1,18.3,4.9, NaN,74,20.9
1.1,0.1,23.5,5.2, NaN,78,20.9
1.2,0.1,25.9,2.4, NaN,81,20.9
1.3,0.1,30.9,5, NaN,85,20.9
1.4,0.1,40.3,9.4, NaN,88,20.9
1.5,0.1,43.4,3.1, NaN,92,20.9
1.6,0.1,50.9,7.5, NaN,95,20.9
1.7,0.1,54.8,3.9, NaN,99,20.9
1.8,0.1,61.3,6.5, NaN,102,20.9
1.9,0.1,70,8.7, NaN,106,20.9
2,0.1,99.4,29.4, NaN,136,20.9
2.1,0.1,118,18.6, NaN,141,20.9
2.2,0.1,145,27,243.25,151,20.9
2.3,0.1,171.6,26.6,205.58,156,20.9
2.4,0.1,185.8,14.2,143.48,160,20.9
2.5,0.1,194.4,8.6,94.76,164,20.9
2.6,0.1,200.9,6.5,44.77,168,20.8
2.65,0.05,201.1,0.2,30.93,532,20.9
2.7,0.05,203.5,2.4,34.21,536,20.9
2.75,0.05,205.9,2.4,35.74,540,20.9
2.8,0.05,207.9,2,37.72,543,20.9
2.85,0.05,210,2.1,39.91,547,20.9
2.9,0.05,211.4,1.4,34.35,550,20.9
2.95,0.05,213.4,2,31.78,554,20.9
3,0.05,214.9,1.5,29.68,557,20.9
3.05,0.05,216.2,1.3,28.27,561,20.9
3.1,0.05,217.7,1.5,27.35,565,20.9
3.15,0.05,218.9,1.2,25.37,568,20.9
3.2,0.05,220.2,1.3,24.71,572,20.9
3.25,0.05,221.6,1.4,24.06,575,20.9
3.3,0.05,222.6,1,22.64,578,20.9
3.35,0.05,223.6,1,21.51,582,20.9
3.4,0.05,224.8,1.2,20.22,585,20.9
3.45,0.05,225.9,1.1,19.22,588,20.9
3.5,0.05,226.6,0.7,18.81,592,20.9
3.55,0.05,227.6,1,17.49,595,20.9
3.6,0.05,228.5,0.9, NaN,599,20.9
3.65,0.05,229.3,0.8, NaN,602,20.9
3.7,0.05,230.2,0.9, NaN,606,20.9
3.75,0.05,230.9,0.7, NaN,609,20.9
3.8,0.05,231.9,1, NaN,612,20.9
