 Comment / ID, Start time, Sample size, Corr. f, Density,,
 Tank4, 6/2/2014 11:03:56 AM, 99.10 g,1, 1.0 g/mL,,
 EQP titration[1],,,,,,
 Volume, Increment, Signal, Change, 1st deriv., Time, Temperature
 mL, mL, mV, mV, mV/mL, s, oC
0, NaN,16.2, NaN, NaN,0,22.1
0.04,0.04,-53.1,-69.3, NaN,28,22.1
0.08,0.04,-54.2,-1.1, NaN,31,22.1
0.12,0.04,-53.7,0.5, NaN,35,22.1
0.16,0.04,-51.6,2.1, NaN,40,22.1
0.2,0.04,-40.7,10.9, NaN,71,22.1
0.24,0.04,-32.6,8.1, NaN,93,22.1
0.28,0.04,-24.6,8, NaN,115,22.1
0.32,0.04,-19.7,4.9, NaN,129,22.1
0.36,0.04,-12.6,7.1, NaN,150,22.1
0.4,0.04,-9.3,3.3, NaN,159,22.1
0.44,0.04,-5.4,3.9, NaN,169,22.1
0.48,0.04,-1.7,3.7, NaN,178,22.1
0.52,0.04,0.2,1.9, NaN,182,22.1
0.56,0.04,4.3,4.1, NaN,188,22.1
0.6,0.04,5.8,1.5, NaN,192,22.1
0.64,0.04,10.2,4.4, NaN,199,22.1
0.68,0.04,12.7,2.5, NaN,205,22.1
0.72,0.04,16.6,3.9, NaN,210,22.1
0.76,0.04,20.5,3.9, NaN,214,22.1
0.8,0.04,21.9,1.4, NaN,218,22.1
0.84,0.04,23.8,1.9, NaN,223,22.1
0.88,0.04,26.7,2.9, NaN,227,22.1
0.92,0.04,29.4,2.7, NaN,232,22.1
0.96,0.04,32,2.6, NaN,236,22.1
1,0.04,36.6,4.6, NaN,241,22.1
1.04,0.04,39.7,3.1, NaN,245,22.1
1.08,0.04,41,1.3, NaN,249,22.1
1.12,0.04,49.1,8.1, NaN,252,22.1
1.16,0.04,49.6,0.5, NaN,256,22.1
1.2,0.04,52.4,2.8, NaN,260,22.1
1.24,0.04,55.6,3.2, NaN,263,22.1
1.28,0.04,56.5,0.9, NaN,267,22.1
1.32,0.04,57.9,1.4, NaN,271,22.1
