 Volume, Increment, Signal, Change, 1st deriv., Time, Temperature
 mL, mL, mV, mV, mV/mL, s, oC
0, NaN,52.7, NaN, NaN,0,19.9
0.04,0.04,-23.4,-76.1, NaN,28,19.9
0.08,0.04,-37.8,-14.4, NaN,56,19.9
0.12,0.04,-38.2,-0.4, NaN,59,19.9
0.16,0.04,-36.8,1.4, NaN,65,19.9
0.2,0.04,-28.4,8.4, NaN,95,19.9
0.24,0.04,-21.9,6.5, NaN,116,19.9
0.28,0.04,-15.8,6.1, NaN,136,19.9
0.32,0.04,-11.8,4, NaN,150,19.9
0.36,0.04,-8.6,3.2, NaN,162,19.9
0.4,0.04,-3.5,5.1, NaN,178,19.9
0.44,0.04,-0.8,2.7, NaN,184,19.9
0.48,0.04,2.3,3.1, NaN,195,19.9
0.52,0.04,4,1.7, NaN,200,19.9
0.56,0.04,5.5,1.5, NaN,205,19.9
0.6,0.04,6.7,1.2, NaN,209,19.9
0.64,0.04,10.9,4.2, NaN,224,19.9
0.68,0.04,13.2,2.3, NaN,233,19.9
0.72,0.04,15,1.8, NaN,240,19.9
0.76,0.04,17.6,2.6, NaN,245,19.9
0.8,0.04,19,1.4, NaN,250,19.9
0.84,0.04,20.7,1.7, NaN,255,19.9
0.88,0.04,22.8,2.1, NaN,259,19.9
0.92,0.04,24.6,1.8, NaN,263,19.9
0.96,0.04,26.7,2.1, NaN,267,19.9
1,0.04,27.7,1, NaN,271,19.9
1.04,0.04,29.3,1.6, NaN,276,20
1.08,0.04,30.5,1.2, NaN,280,19.9
1.12,0.04,32.8,2.3, NaN,285,20
1.16,0.04,34,1.2, NaN,290,20
1.2,0.04,36,2, NaN,295,19.9
1.24,0.04,40.2,4.2, NaN,299,20
1.28,0.04,42.2,2, NaN,303,20
1.32,0.04,44.4,2.2, NaN,307,19.9
1.36,0.04,45.9,1.5, NaN,311,20
1.4,0.04,46.9,1, NaN,315,20
1.44,0.04,49.4,2.5, NaN,320,20
1.48,0.04,51.7,2.3, NaN,324,20
1.52,0.04,55.9,4.2, NaN,337,20
1.56,0.04,60.5,4.6, NaN,351,20
1.6,0.04,63.3,2.8, NaN,355,20
1.64,0.04,65.7,2.4, NaN,360,20
1.68,0.04,68.6,2.9, NaN,364,20
1.72,0.04,72,3.4, NaN,375,20
1.76,0.04,75.4,3.4, NaN,382,20
1.8,0.04,80.4,5, NaN,397,20
1.84,0.04,85.3,4.9, NaN,402,20
1.88,0.04,89.8,4.5, NaN,406,20
1.92,0.04,92,2.2, NaN,411,20
1.96,0.04,96.4,4.4, NaN,417,20
2,0.04,104.4,8, NaN,435,20
2.04,0.04,111,6.6, NaN,441,20
2.08,0.04,119,8, NaN,454,20
2.12,0.04,129.4,10.4, NaN,464,20
2.16,0.04,141.5,12.1,292.06,476,20
2.2,0.04,154.1,12.6,292.75,485,20
2.24,0.04,165.6,11.5,262.49,493,20
2.28,0.04,174.2,8.6,213.39,500,20
2.32,0.04,181,6.8,162.67,506,20
2.34,0.02,183.4,2.4,137.37,872,20.2
2.36,0.02,186.3,2.9,120.74,878,20.2
2.38,0.02,188.8,2.5,113.04,884,20.2
2.4,0.02,190.9,2.1,105.47,889,20.2
2.42,0.02,193,2.1,99.29,894,20.2
2.44,0.02,194.7,1.7,90.97,900,20.2
2.46,0.02,196.6,1.9,86.69,904,20.2
2.48,0.02,198.3,1.7,81.18,909,20.2
2.5,0.02,200,1.7,76.5,914,20.2
2.52,0.02,201.3,1.3,70.66,919,20.2
2.54,0.02,202.7,1.4,64.81,924,20.2
2.56,0.02,203.9,1.2,61.12,928,20.2
2.58,0.02,205.3,1.4,59.34,933,20.2
2.6,0.02,206.2,0.9,59.3,938,20.2
2.62,0.02,207.5,1.3,57.61,943,20.2
2.64,0.02,208.6,1.1,54.73,947,20.3
2.66,0.02,209.8,1.2,50.93,952,20.2
2.68,0.02,210.8,1,48.79,956,20.2
2.7,0.02,211.6,0.8,46.46,960,20.3
2.72,0.02,212.4,0.8,49.67,965,20.2
2.74,0.02,213.4,1,41.66,970,20.3
2.76,0.02,214.4,1,32,974,20.3
2.78,0.02,215.2,0.8,23.99,979,20.3
2.8,0.02,215.7,0.5,18.79,983,20.3
2.82,0.02,214.8,-0.9,19.17,986,20.3
2.84,0.02,215.9,1.1,25.34,990,20.3
2.86,0.02,216.8,0.9,34.41,995,20.3
2.88,0.02,217.5,0.7,41.01,1000,20.3
2.9,0.02,218.3,0.8,41.73,1005,20.3
2.92,0.02,219,0.7,34.41,1009,20.3
2.94,0.02,219.7,0.7,32.85,1014,20.3
2.96,0.02,220.3,0.6,31.97,1018,20.3
2.98,0.02,221,0.7,31.81,1023,20.3
3,0.02,221.6,0.6,31.43,1027,20.3
3.02,0.02,222.1,0.5,30.48,1031,20.3
3.04,0.02,222.9,0.8,30.15,1035,20.3
3.06,0.02,223.5,0.6,28.34,1039,20.3
3.08,0.02,223.9,0.4,27.72,1044,20.3
3.1,0.02,224.5,0.6,27.09,1048,20.3
3.12,0.02,225.1,0.6,26.61,1052,20.3
3.14,0.02,225.5,0.4,27.51,1056,20.3
3.16,0.02,226.2,0.7,27.37,1060,20.3
3.18,0.02,226.7,0.5,26.48,1064,20.3
3.2,0.02,227.2,0.5,26.03,1068,20.3
3.22,0.02,227.7,0.5,24.77,1073,20.3
3.24,0.02,228.2,0.5,22.91,1077,20.3
3.26,0.02,228.7,0.5,22.71,1081,20.3
3.28,0.02,229.1,0.4,22.43,1085,20.3
3.3,0.02,229.5,0.4,23.3,1090,20.3
3.32,0.02,230,0.5,23.79,1094,20.3
3.34,0.02,230.5,0.5,23.77,1099,20.3
3.36,0.02,231,0.5,23.08,1102,20.3
3.38,0.02,231.5,0.5,21.5,1106,20.3
3.4,0.02,231.8,0.3,20.22,1109,20.3
3.42,0.02,232.2,0.4,19.22,1113,20.4
3.44,0.02,232.6,0.4,18.39,1118,20.3
3.46,0.02,233,0.4,19,1122,20.3
3.48,0.02,233.4,0.4,19.52,1126,20.3
3.5,0.02,233.7,0.3,19.49,1130,20.4
3.52,0.02,234.1,0.4,19.29,1135,20.4
3.54,0.02,234.6,0.5,18.98,1139,20.4
3.56,0.02,234.9,0.3,19.01,1143,20.4
3.58,0.02,235.3,0.4,18.81,1148,20.4
3.6,0.02,235.6,0.3,17.69,1152,20.4
3.62,0.02,236,0.4,17.79,1156,20.4
3.64,0.02,236.4,0.4,17.21,1160,20.4
3.66,0.02,236.7,0.3,16.7,1165,20.4
3.68,0.02,237,0.3,16.81,1169,20.4
3.7,0.02,237.4,0.4,16.41,1173,20.4
3.72,0.02,237.6,0.2, NaN,1177,20.4
3.74,0.02,238.1,0.5, NaN,1181,20.4
3.76,0.02,238.4,0.3, NaN,1186,20.4
3.78,0.02,238.7,0.3, NaN,1189,20.4
3.8,0.02,239.1,0.4, NaN,1192,20.4
