 Comment / ID, Start time, Sample size, Corr. f, Density,,
 Sample1, 6/13/2014 1:09:41 PM, 100.06 g,1, 1.0 g/mL,,
 EQP titration[1],,,,,,
 Volume, Increment, Signal, Change, 1st deriv., Time, Temperature
 mL, mL, mV, mV, mV/mL, s, oC
0, NaN,-12.8, NaN, NaN,0,20.9
0.04,0.04,-41.2,-28.4, NaN,28,20.9
0.08,0.04,-40.9,0.3, NaN,32,20.9
0.12,0.04,-39,1.9, NaN,38,20.9
0.16,0.04,-29.4,9.6, NaN,64,20.9
0.2,0.04,-23.3,6.1, NaN,78,20.9
0.24,0.04,-16.5,6.8, NaN,94,20.9
0.28,0.04,-11.2,5.3, NaN,110,20.9
0.32,0.04,-7.3,3.9, NaN,122,20.9
0.36,0.04,-3.3,4, NaN,131,20.9
0.4,0.04,0,3.3, NaN,137,20.9
0.44,0.04,3.2,3.2, NaN,142,20.9
0.48,0.04,6,2.8, NaN,146,20.9
0.52,0.04,9.2,3.2, NaN,152,20.9
0.56,0.04,12.5,3.3, NaN,157,20.9
0.6,0.04,15.3,2.8, NaN,162,20.9
0.64,0.04,16,0.7, NaN,166,20.9
0.68,0.04,17.5,1.5, NaN,170,20.9
0.72,0.04,22.5,5, NaN,175,20.9
0.76,0.04,25,2.5, NaN,179,20.9
0.8,0.04,26.6,1.6, NaN,183,20.9
0.84,0.04,29.9,3.3, NaN,187,20.9
0.88,0.04,31.7,1.8, NaN,191,20.9
0.92,0.04,34.9,3.2, NaN,195,20.9
0.96,0.04,35.3,0.4, NaN,198,20.9
1,0.04,39.6,4.3, NaN,202,20.9
1.04,0.04,42.9,3.3, NaN,206,20.9
1.08,0.04,46.2,3.3, NaN,210,20.9
1.12,0.04,47.4,1.2, NaN,213,20.9
1.16,0.04,48.4,1, NaN,217,20.9
1.2,0.04,50,1.6, NaN,220,20.9
1.24,0.04,52.1,2.1, NaN,224,20.9
1.28,0.04,53.3,1.2, NaN,228,20.9
1.32,0.04,59.1,5.8, NaN,232,20.9
1.36,0.04,65.3,6.2, NaN,236,20.9
1.4,0.04,65.2,-0.1, NaN,239,20.9
1.44,0.04,69.5,4.3, NaN,243,20.9
1.48,0.04,71.9,2.4, NaN,246,20.9
1.52,0.04,72.3,0.4, NaN,250,20.9
1.56,0.04,79.6,7.3, NaN,254,20.9
1.6,0.04,83.4,3.8, NaN,257,20.9
1.64,0.04,83.5,0.1, NaN,261,20.9
1.68,0.04,84.1,0.6, NaN,264,20.9
1.72,0.04,89.6,5.5, NaN,268,20.9
1.76,0.04,91.2,1.6, NaN,272,20.9
