mVTris,TTris
-74.4,23.35
-73,24.49
-72.7,24.6
-72.3,24.95
-71.4,25.68
-70.8,26.13
-69.8,26.97
-69,27.65
-67.3,28.2
-66.8,28.97
-65.8,29.42
-65.5,30.14
