Chamber.num,colony.num,Origin,Secondary,Date,Timepoint,larvae.added,Plastic,Top.Tile,Bottom.Tile,Edge,Swimming,Percent.Settled,Percent.Survivorship
1,5,High,Ambient,7/12/14,Time1,20,1,0,2,12,2,0.75,0.85
2,5,High,High,7/12/14,Time1,20,0,0,0,13,0,0.65,0.65
3,5,High,Ambient,7/12/14,Time1,20,1,0,1,13,1,0.75,0.8
4,5,High,High,7/12/14,Time1,20,0,0,1,9,1,0.5,0.55
5,2,High,Ambient,7/12/14,Time1,20,0,0,4,13,0,0.85,0.85
6,2,High,High,7/12/14,Time1,20,0,0,0,5,1,0.25,0.3
7,6,Ambient,Ambient,7/12/14,Time1,20,3,0,6,3,3,0.6,0.75
8,3,Ambient,Ambient,7/12/14,Time1,20,0,1,0,9,0,0.5,0.5
9,11,Ambient,Ambient,7/12/14,Time1,20,0,0,0,13,1,0.65,0.7
10,11,Ambient,High,7/12/14,Time1,20,0,0,1,7,0,0.4,0.4
11,11,Ambient,Ambient,7/12/14,Time1,20,1,0,0,6,0,0.35,0.35
12,11,Ambient,High,7/12/14,Time1,20,0,0,2,5,0,0.35,0.35
13,15,Ambient,Ambient,7/12/14,Time1,20,4,0,1,10,0,0.75,0.75
14,15,Ambient,High,7/12/14,Time1,20,0,0,0,10,0,0.5,0.5
15,15,Ambient,Ambient,7/12/14,Time1,20,0,0,0,11,1,0.55,0.6
16,6,Ambient,High,7/12/14,Time1,20,0,0,4,1,1,0.25,0.3
17,3,Ambient,High,7/12/14,Time1,20,1,0,3,1,1,0.25,0.3
18,15,Ambient,High,7/12/14,Time1,20,2,0,3,4,0,0.45,0.45
19,6,Ambient,High,7/12/14,Time1,20,0,0,10,0,0,0.5,0.5
20,10,Ambient,Ambient,7/12/14,Time1,20,0,0,4,10,0,0.7,0.7
21,10,Ambient,High,7/12/14,Time1,20,0,0,0,11,2,0.55,0.65
22,10,Ambient,Ambient,7/12/14,Time1,20,0,0,6,0,5,0.3,0.55
23,10,Ambient,High,7/12/14,Time1,20,0,0,1,12,0,0.65,0.65
24,3,Ambient,Ambient,7/12/14,Time1,20,0,0,1,9,3,0.5,0.65
25,3,Ambient,High,7/12/14,Time1,20,0,0,0,7,1,0.35,0.4
26,6,Ambient,Ambient,7/12/14,Time1,20,2,0,4,6,0,0.6,0.6
27,10,Ambient,Ambient,7/13/14,Time1,20,2,0,1,9,1,0.6,0.65
28,10,Ambient,High,7/13/14,Time1,20,0,0,0,15,0,0.75,0.75
29,10,Ambient,Ambient,7/13/14,Time1,20,0,0,0,17,2,0.85,0.95
30,6,Ambient,Ambient,7/13/14,Time1,20,0,0,15,2,0,0.85,0.85
31,6,Ambient,High,7/13/14,Time1,20,2,0,8,2,1,0.6,0.65
32,6,Ambient,Ambient,7/13/14,Time1,20,6,0,1,7,0,0.7,0.7
34,6,Ambient,High,7/13/14,Time1,20,1,0,6,3,0,0.5,0.5
35,11,Ambient,Ambient,7/13/14,Time1,20,3,1,0,9,0,0.65,0.65
36,11,Ambient,High,7/13/14,Time1,20,0,0,2,17,0,0.95,0.95
37,11,Ambient,Ambient,7/13/14,Time1,20,0,0,2,12,0,0.7,0.7
38,11,Ambient,High,7/13/14,Time1,20,0,2,2,11,0,0.75,0.75
39,3,Ambient,Ambient,7/13/14,Time1,20,1,2,0,10,1,0.65,0.7
40,10,Ambient,High,7/13/14,Time1,20,0,1,0,13,1,0.7,0.75
41,15,Ambient,Ambient,7/13/14,Time1,20,6,0,0,9,1,0.75,0.8
42,15,Ambient,High,7/13/14,Time1,20,2,0,2,1,0,0.25,0.25
43,15,Ambient,Ambient,7/13/14,Time1,20,0,0,1,8,0,0.45,0.45
44,15,Ambient,High,7/13/14,Time1,20,6,0,1,8,0,0.75,0.75
45,5,High,Ambient,7/13/14,Time1,20,0,0,3,7,0,0.5,0.5
46,3,Ambient,High,7/13/14,Time1,20,0,0,0,12,0,0.6,0.6
47,5,High,High,7/13/14,Time1,20,1,1,0,7,0,0.45,0.45
48,5,High,Ambient,7/13/14,Time1,20,0,0,8,12,0,1,1
49,5,High,High,7/13/14,Time1,20,0,0,0,6,3,0.3,0.45
50,3,Ambient,Ambient,7/13/14,Time1,20,0,0,3,8,0,0.55,0.55
51,3,Ambient,High,7/13/14,Time1,20,0,0,2,4,1,0.3,0.35
52,2,High,Ambient,7/13/14,Time1,20,2,0,3,9,1,0.7,0.75
53,2,High,High,7/13/14,Time1,20,0,0,2,12,0,0.7,0.7
54,2,High,Ambient,7/13/14,Time1,20,0,0,2,13,0,0.75,0.75
55,2,High,High,7/13/14,Time1,20,0,0,7,12,0,0.95,0.95
56,2,High,High,7/14/14,Time1,20,0,0,2,12,0,0.7,0.7
57,2,High,High,7/14/14,Time1,20,0,0,1,16,0,0.85,0.85
58,2,High,Ambient,7/14/14,Time1,20,0,0,3,14,0,0.85,0.85
59,2,High,Ambient,7/14/14,Time1,20,0,0,0,19,0,0.95,0.95
60,5,High,Ambient,7/14/14,Time1,20,1,0,2,14,0,0.85,0.85
61,5,High,Ambient,7/14/14,Time1,20,0,0,0,18,0,0.9,0.9
62,5,High,High,7/14/14,Time1,20,1,0,1,9,3,0.55,0.7
63,5,High,High,7/14/14,Time1,20,0,0,3,8,0,0.55,0.55
64,3,Ambient,Ambient,7/14/14,Time1,20,0,0,0,16,1,0.8,0.85
65,3,Ambient,High,7/14/14,Time1,20,0,0,0,13,1,0.65,0.7
66,3,Ambient,Ambient,7/14/14,Time1,20,0,0,0,13,0,0.65,0.65
67,3,Ambient,High,7/14/14,Time1,20,0,0,3,9,0,0.6,0.6
68,16,Ambient,High,7/15/14,Time1,20,1,0,1,2,0,0.2,0.2
69,6,Ambient,Ambient,7/14/14,Time1,20,5,0,9,3,0,0.85,0.85
70,6,Ambient,High,7/14/14,Time1,20,0,0,7,6,0,0.65,0.65
71,6,Ambient,High,7/14/14,Time1,20,1,0,2,6,0,0.45,0.45
72,10,Ambient,High,7/14/14,Time1,20,5,0,0,8,3,0.65,0.8
73,10,Ambient,Ambient,7/14/14,Time1,20,0,0,1,12,0,0.65,0.65
74,10,Ambient,High,7/14/14,Time1,20,0,0,0,7,0,0.35,0.35
75,10,Ambient,Ambient,7/14/14,Time1,20,1,2,0,14,0,0.85,0.85
76,15,Ambient,High,7/14/14,Time1,20,0,0,0,6,0,0.3,0.3
77,15,Ambient,High,7/14/14,Time1,20,1,0,0,10,0,0.55,0.55
78,15,Ambient,Ambient,7/14/14,Time1,20,3,1,2,11,0,0.85,0.85
79,15,Ambient,Ambient,7/14/14,Time1,20,1,0,0,8,0,0.45,0.45
80,16,Ambient,High,7/14/14,Time1,20,0,0,0,9,0,0.45,0.45
81,16,Ambient,Ambient,7/14/14,Time1,20,1,0,0,15,0,0.8,0.8
82,16,Ambient,Ambient,7/14/14,Time1,20,1,0,0,16,0,0.85,0.85
83,16,Ambient,High,7/14/14,Time1,20,0,0,1,3,0,0.2,0.2
84,11,Ambient,Ambient,7/14/14,Time1,20,0,0,0,13,1,0.65,0.7
85,11,Ambient,Ambient,7/14/14,Time1,20,0,0,3,16,0,0.95,0.95
86,11,Ambient,High,7/14/14,Time1,20,2,0,3,7,0,0.6,0.6
87,11,Ambient,High,7/14/14,Time1,20,0,0,2,11,0,0.65,0.65
88,6,Ambient,Ambient,7/14/14,Time1,20,0,0,7,4,0,0.55,0.55
89,16,Ambient,Ambient,7/15/14,Time1,20,0,0,7,10,0,0.85,0.85
90,2,High,Ambient,7/15/14,Time1,20,1,0,0,12,0,0.65,0.65
91,2,High,High,7/15/14,Time1,20,0,0,0,5,2,0.25,0.35
92,16,Ambient,Ambient,7/16/14,Time1,20,0,0,0,18,0,0.9,0.9
93,16,Ambient,High,7/16/14,Time1,20,0,0,0,7,0,0.35,0.35
94,16,Ambient,Ambient,7/17/14,Time1,16,1,0,0,9,0,0.63,0.63
95,16,Ambient,High,7/17/14,Time1,16,0,0,0,9,0,0.56,0.56
96,16,Ambient,Ambient,7/18/14,Time1,20,5,0,3,6,4,0.7,0.9
97,16,Ambient,High,7/18/14,Time1,20,1,0,0,9,1,0.5,0.55
