Date,Calib.Date,Time,Tank,Treatment,Temperature,pH.MV,Salinity,Period1,Period2,Period3
20140403,20140427,10:00,Tank2,Acc,25.33,-60.8,34,Acc,,
20140403,20140427,12:00,Tank2,Acc,25.76,-59.2,34.2,Acc,,
20140403,20140427,14:00,Tank2,Acc,26.43,-62.1,34.3,Acc,,
20140404,20140427,10:00,Tank2,Acc,25.26,-61.1,34,Acc,,
20140404,20140427,12:00,Tank2,Acc,26.01,-62.4,34.4,Acc,,
20140407,20140427,12:30,Tank2,Acc,24.82,-65.3,34,Acc,,
20140408,20140427,11:00,Tank2,Acc,24.7,-62.6,34.3,Acc,,
20140409,20140427,15:00,Tank2,Acc,24.95,-63.6,34.4,Acc,,
20140410,20140427,15:00,Tank2,Acc,24.01,-62.2,34.2,Acc,,
20140415,20140427,15:00,Tank2,Acc,24.53,-63.3,34.7,Acc,,
20140417,20140427,16:15,Tank2,Acc,24.88,-66.3,34.4,Acc,,
20140418,20140427,10:00,Tank2,Acc,24.2,-60.8,34.2,Acc,,
20140422,20140427,10:30,Tank2,Acc,25.16,-62.4,35.1,Acc,,
20140423,20140427,11:45,Tank2,Acc,25.22,-67.3,34.9,Acc,,
20140424,20140427,13:45,Tank2,Acc,25.74,-66.4,34.8,Acc,,
20140425,20140427,11:15,Tank2,Acc,25.22,-66.3,34.7,Acc,,
20140428,20140427,9:45,Tank2,Acc,25.02,-63.4,35.2,Acc,,
20140429,20140427,9:30,Tank2,Acc,25.04,-63.4,34.9,Acc,,
20140430,20140427,11:30,Tank2,Acc,24.81,-69.3,34.3,Acc,,
20140501,20140427,10:45,Tank2,Acc,23.84,-67.9,34.3,Acc,,
20140502,20140427,10:00,Tank2,Acc,24.11,-68.1,34.2,Acc,,
20140505,20140427,10:00,Tank2,Acc,26.2,-72.2,35.2,Acc,,
20140505,20140427,10:00,Tank3,High,26.4,-48.8,35.3,Adult,,
20140505,20140427,10:00,Tank4,Ambient,26.07,-66.1,35.3,Adult,,
20140506,20140427,17:00,Tank3,High,27.56,-51,35,Adult,,
20140506,20140427,17:00,Tank4,Ambient,28.81,-73.3,35.1,Adult,,
20140507,20140427,15:50,Tank3,High,26.84,-51.3,35.4,Adult,,
20140507,20140427,15:50,Tank4,Ambient,27.47,-77.3,34.9,Adult,,
20140508,20140427,12:15,Tank3,High,26.89,-53.3,35.1,Adult,,
20140508,20140427,14:35,Tank3,High,26.47,-53,35.3,Adult,,
20140508,20140427,12:15,Tank4,Ambient,26.92,-69.8,35.1,Adult,,
20140508,20140427,14:35,Tank4,Ambient,27.13,-70.4,35,Adult,,
20140509,20140427,11:30,Tank4,Ambient,27.4,-70.1,35,Adult,,
20140509,20140427,11:30,Tank5,High,27.44,-54.3,34.9,Adult,,
20140512,20140512,14:00,Tank4,Ambient,26.05,-72.4,34.7,Adult,,
20140512,20140512,14:00,Tank5,High,26.06,-49,34.8,Adult,,
20140513,20140512,15:30,Tank4,Ambient,25.6,-75,33.7,Adult,,
20140513,20140512,15:30,Tank5,High,25.54,-53.5,33.7,Adult,,
20140514,20140512,16:30,Tank4,Ambient,25.77,-69.8,33.2,Adult,,
20140514,20140512,16:30,Tank5,High,25.74,-56.4,33.2,Adult,,
20140515,20140512,8:50,Tank4,Ambient,25.3,-64.3,33.4,Adult,,
20140515,20140512,8:50,Tank5,High,25.26,-50.6,33.5,Adult,,
20140516,20140512,10:30,Tank4,Ambient,26.19,-69.9,33.4,Adult,,
20140516,20140512,10:30,Tank5,High,26.25,-38.8,33.3,Adult,,
20140519,20140512,9:45,Tank4,Ambient,26.48,-66.8,33.4,Adult,,
20140519,20140512,9:45,Tank5,High,26.67,-43.3,33.5,Adult,,
20140520,20140512,13:00,Tank4,Ambient,27.71,-71.1,33.3,Adult,,
20140520,20140512,13:00,Tank5,High,27.88,-41.5,33.3,Adult,,
20140521,20140512,10:20,Tank4,Ambient,27.11,-69.3,33.5,Adult,,
20140521,20140512,10:20,Tank5,High,27.3,-41,33.5,Adult,,
20140522,20140512,9:00,Tank4,Ambient,26.25,-66.5,33.5,Adult,,
20140522,20140512,9:00,Tank5,High,26.19,-51.6,33.5,Adult,,
20140523,20140523,12:30,Tank4,Ambient,27.71,-73.4,33.9,Adult,,
20140523,20140523,12:30,Tank5,High,28.03,-58.6,33.9,Adult,,
20140527,20140523,9:45,Tank4,Ambient,26.57,-67.9,33.5,Adult,,
20140527,20140523,9:45,Tank5,High,26.81,-44.5,33.5,Adult,,
20140528,20140523,11:45,Tank4,Ambient,27.63,-73.1,33.5,Adult,,
20140528,20140523,11:45,Tank5,High,27.65,-54.1,33.5,Adult,,
20140529,20140529,13:50,Tank4,Ambient,28.58,-71.4,33.5,Adult,,
20140529,20140529,13:50,Tank5,High,28.63,-46.1,33.6,Adult,,
20140530,20140529,9:50,Tank4,Ambient,26.66,-60.9,33.4,Adult,,
20140530,20140529,9:50,Tank5,High,26.73,-42.2,33.5,Adult,,
20140602,20140529,9:00,Tank4,Ambient,26.58,-60.4,34,Adult,,
20140602,20140529,9:00,Tank5,High,26.58,-43.8,34,Adult,,
20140603,20140529,14:00,Tank4,Ambient,27.14,-65.4,34.1,Adult,,
20140603,20140529,14:00,Tank5,High,27.07,-51.3,34,Adult,,
20140604,20140604,10:00,Tank4,Ambient,27,-62.9,34,Adult,,
20140604,20140604,10:00,Tank5,High,26.87,-41.5,34,Adult,,
20140605,20140604,9:00,Tank4,Ambient,26.36,-60.9,34,Adult,,
20140605,20140604,9:00,Tank5,High,26.31,-47.4,34.1,Adult,,
20140606,20140604,9:30,Tank4,Ambient,26.18,-61.2,34,Adult,,
20140606,20140604,9:30,Tank5,High,26.13,-46.5,34,Adult,,
20140609,20140604,9:20,Tank4,Ambient,26.41,-58.1,34.1,Adult,,
20140609,20140604,9:20,Tank5,High,26.45,-57.5,34.1,Adult,,
