Date,Sample.ID,Batch,CRM.TA,CRM.Sal,Acid.Conc,Dens.Funct,HCL.Bottle
20140731,20140731_CRM1,Batch135,2226.33,33.561,0.099987,1.02907 - 1.319x10^-4 (T) - 3.50x10-6(T^2),Bottle 39
20140804,20140804_CRM1,Batch135,2226.33,33.561,0.099987,1.02907 - 1.319x10^-4 (T) - 3.50x10-6(T^2),Bottle 39
20140815,20140815_CRM1,Batch135,2226.33,33.561,0.099987,1.02907 - 1.319x10^-4 (T) - 3.50x10-6(T^2),Bottle 39
20140828,20140828_CRM1,Batch135,2226.33,33.561,0.099987,1.02907 - 1.319x10^-4 (T) - 3.50x10-6(T^2),Bottle 39
20140828,20140828_CRM2,Batch135,2226.33,33.561,0.099987,1.02907 - 1.319x10^-4 (T) - 3.50x10-6(T^2),Bottle 39
20140903,20140903_CRM1,Batch135,2226.33,33.561,0.099987,1.02907 - 1.319x10^-4 (T) - 3.50x10-6(T^2),Bottle 39
20140915,20140915_CRM1,Batch135,2226.33,33.561,0.099987,1.02907 - 1.319x10^-4 (T) - 3.50x10-6(T^2),Bottle 39
20141014,20141014_CRM1,Batch135,2226.33,33.561,0.099987,1.02907 - 1.319x10^-4 (T) - 3.50x10-6(T^2),Bottle 39
20141014,20141014_CRM2,Batch135,2226.33,33.561,0.099987,1.02907 - 1.319x10^-4 (T) - 3.50x10-6(T^2),Bottle 39
20141022,20141022_CRM1,Batch135,2226.33,33.561,0.099987,1.02907 - 1.319x10^-4 (T) - 3.50x10-6(T^2),Bottle 39
20141022,20141022_CRM2,Batch140,2232.58,33.471,0.099987,1.02907 - 1.319x10^-4 (T) - 3.50x10-6(T^2),Bottle 39
20141022,20141022_CRM3,Batch140,2232.58,33.471,0.099987,1.02907 - 1.319x10^-4 (T) - 3.50x10-6(T^2),Bottle 39
20141022,20141022_CRM4,Batch140,2232.58,33.471,0.099987,1.02907 - 1.319x10^-4 (T) - 3.50x10-6(T^2),Bottle 39
20141114,20141114_CRM1,Batch140,2232.58,33.471,0.099987,1.02907 - 1.319x10^-4 (T) - 3.50x10-6(T^2),Bottle 39
20141201,20141201_CRM2,Batch140,2232.58,33.471,0.099987,1.02907 - 1.319x10^-4 (T) - 3.50x10-6(T^2),Bottle 39
20141218,20141218_CRM3,Batch139,2250.82,33.267,0.102458,1.0296876 - 1.2043x10^-4 (T) - 3.79x10-6(T^2),Bottle 28
