Date.Time,Licor.mol.m2,Tank2,Tank3,Tank4,Tank5
4/9/14 7:15,0.01867,498,468,432,411
4/9/14 7:30,0.03176,623,583,523,511
4/9/14 7:45,0.05848,1194,1122,1029,993
4/9/14 8:00,0.06145,1516,1415,1263,1260
4/9/14 8:15,0.04229,1136,1069,999,940
4/9/14 8:30,0.03735,980,929,840,798
4/9/14 8:45,0.08539,1265,1213,1067,1011
4/9/14 9:00,0.05949,1577,1504,1374,1284
4/9/14 9:15,0.04373,1730,1649,1481,1402
4/9/14 9:30,0.04208,1101,1053,918,877
4/9/14 9:45,0.0441,1154,1118,965,911
4/9/14 10:00,0.05096,1436,1417,1192,1125
4/9/14 10:15,0.07071,1807,4789,1396,1307
4/9/14 10:30,0.08348,9494,10722,2573,2450
4/9/14 10:45,0.09037,18511,17142,11480,9953
4/9/14 11:00,0.45881,18165,16981,17018,15769
4/9/14 11:15,,,,,
4/9/14 11:30,0.17722,19181,17720,17943,16917
4/9/14 11:45,0.36381,12224,11426,11105,10675
4/9/14 12:00,0.26653,13045,12096,12068,11645
4/9/14 12:15,0.21252,19876,18166,18539,17708
4/9/14 12:30,0.25008,19255,17802,18030,17334
4/9/14 12:45,0.19529,16453,15151,15231,14781
4/9/14 13:00,0.39429,9478,8701,8503,8317
4/9/14 13:15,0.22946,10712,9773,9767,9445
4/9/14 13:30,0.18193,9074,8242,8122,8038
4/9/14 13:45,0.1725,8739,9453,7470,8654
4/9/14 14:00,0.20502,5691,5222,4966,4926
4/9/14 14:15,0.15739,8900,8126,7916,7921
4/9/14 14:30,,,,,
4/9/14 14:45,,,,,
4/9/14 15:00,0.38704,18761,17048,17389,17086
4/9/14 15:15,0.18257,7135,6295,6268,6264
4/9/14 15:30,0.12952,3672,3357,3140,3143
4/9/14 15:45,0.1745,3820,3881,3151,4375
4/9/14 16:00,0.08238,3052,3911,2192,3290
4/9/14 16:15,0.05424,1842,1439,1941,1409
4/9/14 16:30,0.07143,1753,2348,3102,1714
4/9/14 16:45,0.13186,3541,4616,4186,4047
4/9/14 17:00,0.38556,5615,5012,4993,5016
4/9/14 17:15,0.03752,2361,2054,1529,1939
4/9/14 17:30,0.05283,1090,979,915,940
4/9/14 17:45,0.02346,796,729,677,678
4/9/14 18:00,0.03065,722,665,622,618
4/10/14 7:15,0.01111,278,257,233,234
4/10/14 7:30,0.00848,226,209,193,191
4/10/14 7:45,0.01289,308,284,261,259
4/10/14 8:00,0.02549,436,406,366,366
4/10/14 8:15,0.02112,644,595,538,539
4/10/14 8:30,0.02501,627,582,524,525
4/10/14 8:45,0.03364,757,704,626,630
4/10/14 9:00,0.04953,1109,1034,916,919
4/10/14 9:15,0.05344,1486,1388,1227,1230
4/10/14 9:30,0.10012,2154,2014,1780,1784
4/10/14 9:45,0.15746,3138,2949,2588,2587
4/10/14 10:00,0.18952,4664,4409,3903,3836
4/10/14 10:15,0.16991,5221,5842,4251,4121
4/10/14 10:30,0.17517,6635,6956,4314,4118
4/10/14 10:45,0.11958,3776,3514,3146,3153
4/10/14 11:00,0.11733,3550,3302,2923,2945
4/10/14 11:15,0.16146,3405,3156,2853,2854
4/10/14 11:30,0.14821,3461,3205,2914,2910
4/10/14 11:45,0.12908,3331,3089,2746,2769
4/10/14 12:00,0.14593,4245,3942,3548,3563
4/10/14 12:15,0.16104,4125,3854,3398,3405
4/10/14 12:30,0.1594,4620,4295,3909,3880
4/10/14 12:45,0.12279,4023,3744,3329,3345
4/10/14 13:00,0.1575,3750,3508,3129,3097
4/10/14 13:15,0.16057,4449,4140,3728,3707
4/10/14 13:30,0.18701,4307,4009,3613,3584
4/10/14 13:45,0.17532,4765,4432,3981,3973
4/10/14 14:00,0.16262,4804,4448,4040,4034
4/10/14 14:15,0.11126,4017,3723,3457,3394
4/10/14 14:30,0.06191,2137,2001,1875,1776
4/10/14 14:45,0.05987,1577,1493,1341,1288
4/10/14 15:00,0.03909,1187,1107,1035,991
4/10/14 15:15,0.04229,1064,996,926,885
4/10/14 15:30,0.06406,1439,1349,1211,1185
4/10/14 15:45,0.05786,1644,1539,1429,1372
4/10/14 16:00,0.06802,1642,1537,1413,1363
4/10/14 16:15,0.05284,1588,1482,1369,1327
4/10/14 16:30,0.05137,1247,1163,1103,1046
4/10/14 16:45,0.05037,1374,1282,1176,1140
4/10/14 17:00,0.05197,1335,1241,1151,1119
4/10/14 17:15,0.03809,1248,1156,1057,1045
