Tank,Mass,Salinity,Acid.Conc,Dens.Funct,HCL.Bottle,pH35,pH3,Sample.Type
20140505_CRM,100.22,33.328,0.100171,d1,Bottle 156,202.84,231.91,CRM
20140505_Tank3,99.96,35.3,0.100171,d1,Bottle 156,202.84,231.91,Tank
20140505_Tank4,99.63,35.3,0.100171,d1,Bottle 156,202.84,231.91,Tank
20140505_Tank5,100.02,35.3,0.100171,d1,Bottle 156,202.84,231.91,Tank
20140508_CRM1,98.78,33.328,0.100171,d1,Bottle 156,199.2845,228.601,CRM
20140508_CRM2,99.28,33.328,0.100171,d1,Bottle 156,199.2845,228.601,CRM
20140508_Tank4,99.89,35,0.100171,d1,Bottle 156,199.2845,228.601,Tank
20140508_Tank5,99.21,34.9,0.100171,d1,Bottle 156,199.2845,228.601,Tank
20140512_CRM1,100.05,33.328,0.100171,d1,Bottle 156,197.37,226.57,CRM
20140512_CRM2,99.81,33.328,0.100171,d1,Bottle 156,197.37,226.57,CRM
20140512_Tank4,99.43,34.7,0.100171,d1,Bottle 156,197.37,226.57,Tank
20140512_Tank5,99.41,34.8,0.100171,d1,Bottle 156,197.37,226.57,Tank
20140515_CRM1,100.01,33.435,0.100171,d1,Bottle 156,198.295,227.47,CRM
20140515_CRM2,99.43,33.435,0.100171,d1,Bottle 156,198.295,227.47,CRM
20140515_Tank4,100.63,33.4,0.100171,d1,Bottle 156,198.295,227.47,Tank
20140515_Tank5,99.58,33.5,0.100171,d1,Bottle 156,198.295,227.47,Tank
20140519_CRM1,99.32,33.435,0.100171,d1,Bottle 156,198.3295,227.571,CRM
20140519_CRM2,100,33.435,0.100171,d1,Bottle 156,198.3295,227.571,CRM
20140519_Tank4,100.46,33.4,0.100171,d1,Bottle 156,198.3295,227.571,Tank
20140519_Tank5,100.62,33.5,0.100171,d1,Bottle 156,198.3295,227.571,Tank
20140522_CRM1,99.26,33.561,0.100171,d1,Bottle 156,198.0895,227.331,CRM
20140522_CRM2,100.43,33.561,0.100171,d1,Bottle 156,198.0895,227.331,CRM
20140522_Tank4,100.58,33.5,0.100171,d1,Bottle 156,198.0895,227.331,Tank
20140522_Tank5,100.53,33.5,0.100171,d1,Bottle 156,198.0895,227.331,Tank
20140527_CRM1,100.37,33.561,0.100171,d1,Bottle 156,197.1095,226.301,CRM
20140527_CRM2,99.93,33.561,0.100171,d1,Bottle 156,197.1095,226.301,CRM
20140527_Tank4,99.97,33.5,0.100171,d1,Bottle 156,197.1095,226.301,Tank
20140527_Tank5,99.65,33.5,0.100171,d1,Bottle 156,197.1095,226.301,Tank
20140529_CRM1,99.76,33.561,0.100171,d1,Bottle 156,198.6345,227.901,CRM
20140529_CRM2,100.27,33.561,0.100171,d1,Bottle 156,198.6345,227.901,CRM
20140529_Tank4,100.16,33.5,0.100171,d1,Bottle 156,198.6345,227.901,Tank
20140529_Tank5,100.39,33.6,0.100171,d1,Bottle 156,198.6345,227.901,Tank
20140602_CRM1,99.31,33.561,0.100171,d1,Bottle 156,198.1345,227.401,CRM
20140602_CRM2,99.55,33.561,0.100171,d1,Bottle 156,198.1345,227.401,CRM
20140602_Tank4,99.1,34,0.100171,d1,Bottle 156,198.1345,227.401,Tank
20140602_Tank5,99.14,34,0.100171,d1,Bottle 156,198.1345,227.401,Tank
20140605_CRM1,100.07,33.561,0.100171,d1,Bottle 156,197.4855,226.669,CRM
20140605_CRM2,100,33.561,0.100171,d1,Bottle 156,197.4855,226.669,CRM
20140605_Tank4,100.52,34,0.100171,d1,Bottle 156,197.4855,226.669,Tank
20140605_Tank5,100.65,34.1,0.100171,d1,Bottle 156,197.4855,226.669,Tank
20140609_CRM1,100.04,33.561,0.100171,d1,Bottle 156,199.1855,228.369,CRM
20140609_CRM2,99.87,33.561,0.100171,d1,Bottle 156,199.1855,228.369,CRM
20140609_Tank4,100.59,34.1,0.100171,d1,Bottle 156,199.1855,228.369,Tank
20140609_Tank5,100.07,34.1,0.100171,d1,Bottle 156,199.1855,228.369,Tank
20140612_CRM1,100.03,33.561,0.100171,d1,Bottle 156,200.845,230.07,CRM
20140612_CRM2,100.08,33.561,0.100171,d1,Bottle 156,200.845,230.07,CRM
20140612_Tank4,99.64,34,0.100171,d1,Bottle 156,200.845,230.07,Tank
20140612_Tank5,100.52,34.1,0.100171,d1,Bottle 156,200.845,230.07,Tank
20140613_CRM1,100.71,33.561,0.100171,d1,Bottle 156,201.096,230.07,CRM
20140613_Tank4_Loc1,99.44,33.5,0.100171,d1,Bottle 156,201.096,230.07,Location
20140613_Tank4_Loc2,100.02,33.8,0.100171,d1,Bottle 156,201.096,230.07,Location
20140613_Tank4_Loc3,100.5,34.2,0.100171,d1,Bottle 156,201.096,230.07,Location
20140613_Tank4_Loc4,99.84,34,0.100171,d1,Bottle 156,201.096,230.07,Location
20140613_Tank4_Loc5,100.11,33.7,0.100171,d1,Bottle 156,201.096,230.07,Location
20140613_Tank4_Loc6,100.12,33.5,0.100171,d1,Bottle 156,201.096,230.07,Location
20140613_Tank4_Loc7,100.4,34.2,0.100171,d1,Bottle 156,201.096,230.07,Location
20140613_Tank4_Loc8,100.6,34,0.100171,d1,Bottle 156,201.096,230.07,Location
20140613_Tank5_Loc1,100.06,33.7,0.100171,d1,Bottle 156,201.096,230.07,Location
20140613_Tank5_Loc2,100.41,33.7,0.100171,d1,Bottle 156,201.096,230.07,Location
20140613_Tank5_Loc3,100.33,33.9,0.100171,d1,Bottle 156,201.096,230.07,Location
20140613_Tank5_Loc4,100.74,34,0.100171,d1,Bottle 156,201.096,230.07,Location
20140613_Tank5_Loc5,99.98,33.8,0.100171,d1,Bottle 156,201.096,230.07,Location
20140613_Tank5_Loc6,99.73,33.8,0.100171,d1,Bottle 156,201.096,230.07,Location
20140613_Tank5_Loc7,100.31,33.8,0.100171,d1,Bottle 156,201.096,230.07,Location
20140613_Tank5_Loc8,100.3,34,0.100171,d1,Bottle 156,201.096,230.07,Location
20140616_CRM1,100.73,32.985,0.100171,d1,Bottle 156,201.096,230.07,CRM
20140616_CRM2,100.79,32.985,0.100171,d1,Bottle 156,200.1145,229.331,CRM
20140616_Tank4,100.33,34,0.100171,d1,Bottle 156,200.1145,229.331,Tank
20140616_Tank5,99.56,33.8,0.100171,d1,Bottle 156,200.1145,229.331,Tank
20140617_ambient_header,99.61,33.9,0.100171,d1,Bottle 156,200.1145,229.331,Header
20140617_high_header,100.36,33.9,0.100171,d1,Bottle 156,200,229.2,Header
20140617_CRM1,100.49,32.985,0.100171,d1,Bottle 156,200,229.2,CRM
20140617_bowl1,99.95,33.9,0.100171,d1,Bottle 156,200,229.2,Bowl
20140617_bowl2,99.46,33.9,0.100171,d1,Bottle 156,200,229.2,Bowl
20140617_bowl3,99.39,33.9,0.100171,d1,Bottle 156,200,229.2,Bowl
20140617_bowl4,99.65,33.9,0.100171,d1,Bottle 156,200,229.2,Bowl
20140617_bowl5,99.44,33.9,0.100171,d1,Bottle 156,200,229.2,Bowl
20140617_bowl6,99.28,33.9,0.100171,d1,Bottle 156,200,229.2,Bowl
20140617_bowl7,99.4,33.9,0.100171,d1,Bottle 156,200,229.2,Bowl
20140617_bowl8,100.1,33.9,0.100171,d1,Bottle 156,200,229.2,Bowl
20140617_bowl9,100.6,33.9,0.100171,d1,Bottle 156,200,229.2,Bowl
20140617_bowl10,100.53,33.9,0.100171,d1,Bottle 156,200,229.2,Bowl
20140617_bowl11,100.34,33.9,0.100171,d1,Bottle 156,200,229.2,Bowl
20140617_bowl12,100.01,33.9,0.100171,d1,Bottle 156,200,229.2,Bowl
20140617_bowl14,100.5,33.9,0.100171,d1,Bottle 156,200,229.2,Bowl
20140617_bowl15,100.12,33.9,0.100171,d1,Bottle 156,200,229.2,Bowl
20140617_bowl16,100.38,33.9,0.100171,d1,Bottle 156,200,229.2,Bowl
20140619_CRM1,99.45,32.985,0.100171,d1,Bottle 156,200,229.2,CRM
20140619_CRM2,99.61,32.985,0.100171,d1,Bottle 156,200.0655,229.299,CRM
20140619_ambient_header,100.05,33.9,0.100171,d1,Bottle 156,200.0655,229.299,Header
20140619_high_header,99.31,33.9,0.100171,d1,Bottle 156,200.0655,229.299,Header
20140619_Tank4,99.29,33.8,0.100171,d1,Bottle 156,200.0655,229.299,Tank
20140619_Tank5,99.16,33.9,0.100171,d1,Bottle 156,200.0655,229.299,Tank
20140623_CRM1,99.84,33.561,0.100171,d1,Bottle 156,200.0655,229.299,CRM
20140623_CRM2,99.65,33.561,0.100171,d1,Bottle 156,199.755,229.03,CRM
20140623_Tank4,99.6,33.5,0.100171,d1,Bottle 156,199.755,229.03,Tank
20140623_Tank5,100.3,33.6,0.100171,d1,Bottle 156,199.755,229.03,Tank
20140626_CRM1,99.48,33.561,0.100171,d1,Bottle 156,199.755,229.03,CRM
20140626_Tank4,100.06,33.9,0.100171,d1,Bottle 156,201.63,230.93,Tank
20140626_Tank5,99.73,33.9,0.100171,d1,Bottle 156,201.63,230.93,Tank
20140630_CRM1,99.53,33.561,0.100171,d1,Bottle 156,201.63,230.93,CRM
20140630_Tank4,100.83,33.7,0.100171,d1,Bottle 156,200.5355,230.93,Tank
20140630_Tank5,99.75,33.7,0.100171,d1,Bottle 156,200.5355,230.93,Tank
20140703_CRM1,99.94,33.561,0.100171,d1,Bottle 156,200.5355,230.93,CRM
20140703_Tank4,100.48,34.2,0.100171,d1,Bottle 156,200.06,229.27,Tank
20140703_Tank5,99.6,34.2,0.100171,d1,Bottle 156,200.06,229.27,Tank
20140707_CRM1,99.69,33.561,0.100171,d1,Bottle 156,200.06,229.27,CRM
20140707_Tank4,99.17,33.3,0.100171,d1,Bottle 156,201.12,230.37,Tank
20140707_Tank5,99.19,33.3,0.100171,d1,Bottle 156,201.12,230.37,Tank
20140710_CRM1,100.4,33.561,0.100171,d1,Bottle 156,201.12,230.37,CRM
20140710_Tank4,100.2,33.8,0.100171,d1,Bottle 156,201.495,230.67,Tank
20140710_Tank5,100.59,33.9,0.100171,d1,Bottle 156,201.495,230.67,Tank
20140714_CRM1,100.33,33.561,0.099987,d2,Bottle 156,201.495,230.67,CRM
20140714_Tank4,99.95,34.3,0.099987,d2,Bottle 39,200.795,229.87,Tank
20140714_Tank5,99.99,34.1,0.099987,d2,Bottle 39,200.795,229.87,Tank
20140717_CRM1,100.11,33.561,0.099987,d2,Bottle 39,200.795,229.87,CRM
20140717_Tank4,99.82,33.9,0.099987,d2,Bottle 39,204.065,233.32,Tank
20140717_Tank5,100.14,34.1,0.099987,d2,Bottle 39,204.065,233.32,Tank
20140722_CRM1,100.81,33.561,0.099987,d2,Bottle 39,204.065,233.32,CRM
20140722_Tank4,99.96,33,0.099987,d2,Bottle 39,200.445,229.47,Tank
20140722_Tank5,99.67,33.2,0.099987,d2,Bottle 39,200.445,229.47,Tank
20140724_CRM1,100.01,33.561,0.099987,d2,Bottle 39,200.445,229.47,CRM
20140724_Tank4,100.09,33.2,0.099987,d2,Bottle 39,200.3795,229.371,Tank
20140724_Tank5,100.02,33.2,0.099987,d2,Bottle 39,200.3795,229.371,Tank
20140728_CRM1,99.44,33.561,0.099987,d2,Bottle 39,200.3795,229.371,CRM
20140728_Tank4,99.61,33.7,0.099987,d2,Bottle 39,201.27,230.47,Tank
20140728_Tank5,99.3,33.6,0.099987,d2,Bottle 39,201.27,230.47,Tank
20140731_CRM1,99.45,33.561,0.099987,d2,Bottle 39,201.27,230.47,CRM
20140731_Tank4,99.21,34,0.099987,d2,Bottle 39,201.87,231.03,Tank
20140731_Tank5,100.66,33.9,0.099987,d2,Bottle 39,201.87,231.03,Tank
20140804_CRM1,100.2,33.561,0.099987,d2,Bottle 39,201.87,231.03,CRM
20140804_Tank4,99.5,34.2,0.099987,d2,Bottle 39,203.6095,232.701,Tank
20140804_Tank5,99.62,34.2,0.099987,d2,Bottle 39,203.6095,232.701,Tank
20140815_ambient_header,98.43,35,0.099987,d2,Bottle 39,203.6095,232.701,Header
20140815_high_header,98.38,35,0.099987,d2,Bottle 39,206.1,235.1,Header
20140815_CRM1,99.82,33.561,0.099987,d2,Bottle 39,206.1,235.1,CRM
20140815_bowl1,99.33,35,0.099987,d2,Bottle 39,206.1,235.1,Bowl
