"Date","Tank","Treatment","Period1","Period2","Period3","Salinity","Temperature","pH","CO2","pCO2","HCO3","CO3","DIC","TA","Aragonite.Sat"
20140717,"Tank5","High","Adult","Month1","Month6",34.1,26.89,7.77885403672123,21.0096927548974,774.352847547617,1847.16531055966,125.995188820808,1994.17019213536,2158.49151056337,2.03009723394651
20140722,"Tank4","Ambient","Adult","Month1","Month6",33,27.1,7.90492756330604,14.6442677384445,539.465836995875,1711.27324878064,153.19656290267,1879.11407942176,2090.94160503753,2.48808215091971
20140722,"Tank5","High","Adult","Month1","Month6",33.2,27.08,7.7153934095255,24.3232290470475,896.500491641852,1839.76756913211,106.885581075769,1970.97637925492,2104.1132880463,1.73366175646385
20140724,"Tank4","Ambient","Adult","Month1","Month6",33.2,26.72,7.91453500423116,14.4992253331629,529.735621565746,1723.0934374032,156.284937811773,1893.87760054813,2110.15308782574,2.53008008673009
20140724,"Tank5","High","Adult","Month1","Month6",33.2,26.5,7.66729038922844,27.8204827838833,1010.96461607842,1863.32984101297,94.879425584027,1986.02974938088,2098.14894778344,1.53422497538504
20140728,"Tank4","Ambient","Adult","Month1","Month6",33.7,27.11,7.87296070817146,16.2785208698429,601.962413353945,1778.64943663174,150.46636981372,1945.3943273153,2150.4033886825,2.43337687496555
20140728,"Tank5","High","Adult","Month1","Month6",33.6,27.08,7.88493577848464,15.735709137016,581.169068718034,1764.87631090041,152.946246180483,1933.55826621791,2142.92018944423,2.47464502897585
20140731,"Tank4","Ambient","Adult","Month1","Month6",34,27.26,7.88558360603289,15.5468191024999,577.8825977919,1758.23178622884,155.052917112095,1928.83152244343,2142.07870392936,2.50472663125583
20140731,"Tank5","High","Adult","Month1","Month6",33.9,27.23,7.61567823613909,32.2267479676697,1196.40625126776,1954.92813460747,92.2861826714403,2079.44106524658,2181.98591337451,1.491517550768
20140804,"Tank4","Ambient","Adult","Month1","Month6",34.2,27.33,7.83810684601254,17.9089459318811,667.4917907595,1821.08703797899,145.008579210457,1984.00456312133,2178.95054227595,2.34027710066092
20140804,"Tank5","High","Adult","Month1","Month6",34.2,27.36,7.60310096901231,33.0811967595704,1233.87902836392,1959.1926225507,90.909117343572,2083.18293665384,2183.04342396346,1.46740276526656
20140815,"Tank4","Ambient","Adult","Month1","Month6",34.1,27.42,7.90285274705605,14.6632428908226,547.428988967239,1732.17138642127,160.252367535342,1907.08699684744,2129.55118438482,2.5892154036281
20140815,"Tank5","High","Adult","Month1","Month6",34.1,27.3,7.65380756026079,28.2406159323074,1051.27055904078,1875.96877131956,97.3870899759613,2001.59647722783,2117.20806200353,1.57250108375541
20140828,"Tank4","Ambient","","","Month6",34.2,26.84,7.89538658806623,15.4247859980317,568.10826900466,1773.37550535235,158.272624092828,1947.07291544321,2164.81963751846,2.54785953139205
20140828,"Tank5","High","","","Month6",34.2,26.89,7.64642288371677,29.4426379257828,1085.7219625783,1909.85463005973,96.2569353895051,2035.55420337502,2147.78316048009,1.54993447054571
20140903,"Tank4","Ambient","","","Month6",33.7,28.06,7.9248815535638,13.7967738471265,521.984535948726,1728.91195275306,170.612627723316,1913.3213543235,2150.45399703722,2.77329395690566
20140903,"Tank5","High","","","Month6",33.9,28.16,7.63476795831322,29.4786307113702,1119.08225025986,1900.78961036718,96.9785680845112,2027.24680916306,2140.13510994788,1.57519037833072
20140915,"Tank4","Ambient","","","Month6",33.3,28.36,7.8714634283066,15.6833947798657,596.403739909326,1741.21501150552,152.149082217338,1909.04748850273,2117.3971921646,2.48360926757897
20140915,"Tank5","High","","","Month6",33.5,28.5,7.70662319139621,24.2346294764918,925.583228303883,1848.76368315936,111.614019139069,1984.61233177492,2124.2990860732,1.82104052452302
20141014,"Tank4","Ambient","","","Month6",33.8,27.86,7.94657033544148,12.9349360844378,487.292726438431,1699.17652035632,175.405503949928,1887.51696039069,2133.57440205854,2.84626245157206
20141014,"Tank5","High","","","Month6",33.8,27.69,7.70327672564921,24.7382349213945,928.165983849936,1850.09767878356,108.400047282025,1983.23596098698,2118.3040216152,1.7573690615307
20141022,"Tank4","Ambient","","","Month6",34,27.67,7.97146746806223,11.8428708907459,444.575939405884,1644.60989638196,179.396527551412,1835.84929482412,2091.25286982327,2.90427523025472
20141022,"Tank5","High","","","Month6",34,27.93,7.5627161715571,35.0107267307811,1322.49862149836,1906.01589178833,81.8877728002523,2022.91439131936,2108.70873153078,1.32754446531505
20141201,"Tank4","Ambient","","","Month6",32.9,23.34,8.28514271706971,5.57580437155102,186.738396904759,1452.95506729193,271.321781176961,1729.85265284044,2127.00693657491,4.32735599383709
20141201,"Tank5","High","","","Month6",32.6,23.59,7.91265413827494,16.0218788447827,539.23836614603,1774.74382986026,140.848886961349,1931.61459566639,2123.10044158476,2.25262959183925
20141218,"Tank4","Ambient","","","Month6",34.7,24.19,8.38091509281452,3.89949979814907,134.76742847588,1308.6968945013,327.9988022319,1640.59519653135,2131.23677815851,5.19638575480401
20141218,"Tank5","High","","","Month6",34.8,24.1,8.05113703985397,10.5083501481268,362.524059779593,1648.81128320827,193.19119840614,1852.51083176254,2130.94946060272,3.05748560818641
