"Treatment","variable","N","mean","sem"
"Ambient","Salinity",15,33.8,0.131656117720877
"High","Salinity",15,33.8133333333333,0.136927741342674
"Ambient","Temperature",15,26.9046666666667,0.352421374772906
"High","Temperature",15,26.918,0.349518307988362
"Ambient","pH",15,7.96524607744485,0.039852080303048
"High","pH",15,7.72636359630803,0.0343606156849094
"Ambient","CO2",15,13.2803626119474,0.978476580673309
"High","CO2",15,24.8823512549346,1.79889727604609
"Ambient","pCO2",15,492.474255526104,37.6692477430195
"High","pCO2",15,921.697029666779,70.122147082224
"Ambient","fCO2",15,490.965011956643,37.5558574631031
"High","fCO2",15,918.87075937226,69.9122574406403
"Ambient","HCO3",15,1685.27051647208,34.6697355250669
"High","HCO3",15,1850.61490258826,20.4257414175451
"Ambient","CO3",15,179.741820721093,13.0493919686497
"High","CO3",15,114.07899069196,7.56866972703814
"Ambient","DIC",15,1878.29269980512,22.959282514258
"High","DIC",15,1989.57624453515,15.1527096283245
"Ambient","TA",15,2134.52665703662,6.59226379360028
"High","TA",15,2134.93351292791,6.72160336242701
"Ambient","Aragonite.Sat",15,2.89554425716001,0.202941355199551
"High","Aragonite.Sat",15,1.83852688433073,0.118559561546331
