"Treatment","variable","N","mean","sem"
"Ambient","Salinity",29,33.9344827586207,0.10282653886665
"High","Salinity",28,33.8857142857143,0.0855598255553105
"Ambient","Temperature",29,26.8131034482759,0.115831863292285
"High","Temperature",28,26.7832142857143,0.117428412923592
"Ambient","pH",29,7.96107646127513,0.0153401948536722
"High","pH",28,7.71228800651141,0.0166160033586822
"Ambient","CO2",29,13.0847601748306,0.533085586500167
"High","CO2",28,25.5546330416694,1.03429944899937
"Ambient","pCO2",29,480.592993742975,19.4934221608225
"High","pCO2",28,938.32038919958,38.0361844863799
"Ambient","fCO2",29,479.112684752109,19.4334243930931
"High","fCO2",28,935.429879832452,37.9193678666323
"Ambient","HCO3",29,1701.90363310517,14.3590797234388
"High","HCO3",28,1875.39934582877,9.7272220881445
"Ambient","CO3",29,177.405354658402,5.4916959156858
"High","CO3",28,110.475520106372,3.93905190150695
"Ambient","DIC",29,1892.39374793841,9.91117266179797
"High","DIC",28,2011.42949897681,7.42691851018425
"Ambient","TA",29,2144.85953015536,4.86441362635587
"High","TA",28,2150.28373335813,5.01135986563744
"Ambient","Aragonite.Sat",29,2.85796109132076,0.0880620488664828
"High","Aragonite.Sat",28,1.78015535802665,0.0633187844586761
